Genero;Edad;Nivel de Instrucción;¿Con qué frecuencia compras productos de comerciantes tricicleros?;¿Con qué frecuencia compras productos en tiendas?;¿Considera que los productos ofrecidos por los triciclos comerciales son:;¿Cuánto es su  gasto semanal comprando a comerciantes tricicleros?; ¿En que parroquia vive?;¿Qué tipo de productos suelen comprar más a los comerciantes tricicleros? ;¿Qué tipo de productos/servicios te gustaría ver más en la oferta de los comerciantes tricicleros?
Femenino;54;Primaria;Una vez por semana;Todos los días;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;39;Primaria;Todos los días;Todos los días;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;65;Primaria;Todos los días;Una vez por semana;Excelente;De 5 a 10 dólares;18 de Octubre;Productos frescos;Productos de aseo
Femenino;54;Primaria;Varias veces por semana;Una vez por semana;Muy bueno;De 10 a 15 dólares;Portoviejo;Productos frescos;Productos de aseo
Femenino;47;Secundaria;Varias veces por semana;Ocasionalmente;Muy bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;43;Secundaria;Ocasionalmente;Varias veces por semana;Muy bueno;De 5 a 10 dólares;Francisco Pacheco;Productos frescos;Productos de aseo
Femenino;45;Primaria;Varias veces por semana;Varias veces por semana;Excelente;De 10 a 15 dólares;San Pablo;Productos frescos;Productos de aseo
Masculino;46;Primaria;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos de aseo
Femenino;22;Secundaria;Una vez por semana;Todos los días;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Femenino;35;Educación Superior;Ocasionalmente;Todos los días;Muy bueno;De 10 a 15 dólares;Francisco Pacheco;Bebidas;Productos frescos
Femenino;39;Secundaria;Ocasionalmente;Varias veces por semana;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;35;Primaria;Varias veces por semana;Ocasionalmente;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;28;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;37;Secundaria;Ocasionalmente;Una vez por semana;Muy bueno;De 5 a 10 dólares;San Pablo;Productos frescos;Productos frescos
Femenino;26;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;22;Educación Superior;Todos los días;Ocasionalmente;Bueno;De 15 a 20 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Femenino;62;Primaria;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;18 de Octubre;Productos frescos;Productos frescos
Femenino;28;Secundaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;18 de Octubre;Productos frescos;Productos frescos
Femenino;67;Primaria;Ocasionalmente;Todos los días;Regular;De 5 a 10 dólares;18 de Octubre;Productos frescos;Productos frescos
Masculino;46;Educación Superior;Una vez por semana;Todos los días;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos de aseo
Femenino;24;Educación Superior;Todos los días;Ocasionalmente;Bueno;De 5 a 10 dólares;San Pablo;Productos frescos;Productos de aseo
Masculino;38;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;12 de Marzo;Productos frescos;Productos frescos
Masculino;43;Secundaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos frescos
Femenino;25;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Portoviejo;Productos de aseo;Productos frescos
Femenino;23;Educación Superior;Una vez por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Masculino;18;Secundaria;Todos los días;Ocasionalmente;Regular;De 5 a 10 dólares;Portoviejo;Productos de aseo;Productos frescos
Femenino;35;Secundaria;Todos los días;Varias veces por semana;Excelente;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;45;Secundaria;Todos los días;Una vez por semana;Bueno;Más de 30 dólares;Alajuela;Bebidas;Productos frescos
Femenino;26;Secundaria;Varias veces por semana;Ocasionalmente;Excelente;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Femenino;28;Primaria;Todos los días;Ocasionalmente;Regular;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos de aseo
Femenino;35;Secundaria;Ocasionalmente;Todos los días;Muy bueno;Más de 50 dólares;Andrés de Vera;Bebidas;Productos frescos
Femenino;34;Secundaria;Varias veces por semana;Una vez por semana;Muy bueno;De 10 a 15 dólares;San Pablo;Productos frescos;Bebidas
Femenino;33;Secundaria;Varias veces por semana;Ocasionalmente;Bueno;De 15 a 20 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;51;Secundaria;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Bebidas
Masculino;29;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Masculino;23;Educación Superior;Una vez por semana;Varias veces por semana;Regular;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;27;Educación Superior;Varias veces por semana;Todos los días;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Bebidas
Masculino;55;Primaria;Todos los días;Una vez por semana;Excelente;Más de 30 dólares;Andrés de Vera;Productos frescos;Productos de aseo
Femenino;46;Secundaria;Una vez por semana;Ocasionalmente;Muy bueno;De 10 a 15 dólares;Colón;Productos frescos;Bebidas
