Genero;Edad;Nivel de Instrucción;¿Con qué frecuencia compras productos de comerciantes tricicleros?;¿Con qué frecuencia compras productos en tiendas?;¿Considera que los productos ofrecidos por los triciclos comerciales son:;¿Cuánto es su  gasto semanal comprando a comerciantes tricicleros?; ¿En que parroquia vive?;¿Qué tipo de productos suelen comprar más a los comerciantes tricicleros? ;¿Qué tipo de productos/servicios te gustaría ver más en la oferta de los comerciantes tricicleros?
Femenino;48;Educación Superior;Ocasionalmente;Todos los días;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Bebidas
Femenino;40;Secundaria;Todos los días;Una vez por semana;Excelente;De 15 a 20 dólares;Andrés de Vera;Bebidas;Bebidas
Masculino;30;Secundaria;Una vez por semana;Una vez por semana;Excelente;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;44;Secundaria;Varias veces por semana;Todos los días;Excelente;De 5 a 10 dólares;Francisco Pacheco;Bebidas;Bebidas
Femenino;24;Educación Superior;Una vez por semana;Todos los días;Regular;De 5 a 10 dólares;18 de Octubre;Bebidas;Productos frescos
Femenino;32;Secundaria;Una vez por semana;Ocasionalmente;Muy bueno;De 5 a 10 dólares;Francisco Pacheco;Productos frescos;Productos frescos
Masculino;27;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 15 a 20 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Masculino;18;Secundaria;Varias veces por semana;Todos los días;Bueno;De 10 a 15 dólares;Portoviejo;Productos frescos;Productos frescos
Femenino;32;Educación Superior;Ocasionalmente;Varias veces por semana;Bueno;De 15 a 20 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Masculino;24;Secundaria;Una vez por semana;Varias veces por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Bebidas
Femenino;26;Educación Superior;Ocasionalmente;Todos los días;Regular;De 5 a 10 dólares;Colón;Productos frescos;Productos frescos
Masculino;42;Secundaria;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Femenino;25;Educación Superior;Ocasionalmente;Varias veces por semana;Muy bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos de aseo
Masculino;34;Secundaria;Varias veces por semana;Varias veces por semana;Regular;De 10 a 15 dólares;Francisco Pacheco;Productos frescos;Bebidas
Femenino;23;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;54;Primaria;Ocasionalmente;Todos los días;Muy bueno;De 5 a 10 dólares;San Pablo;Productos frescos;Productos frescos
Masculino;21;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;25;Educación Superior;Varias veces por semana;Ocasionalmente;Excelente;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos de aseo
Masculino;26;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 10 a 15 dólares;12 de Marzo;Bebidas;Bebidas
Masculino;39;Educación Superior;Ocasionalmente;Ocasionalmente;Excelente;De 15 a 20 dólares;12 de Marzo;Productos frescos;Productos frescos
Femenino;19;Secundaria;Varias veces por semana;Ocasionalmente;Muy bueno;De 5 a 10 dólares;Picoazá;Bebidas;Productos frescos
Femenino;38;Educación Superior;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos de aseo;Productos frescos
Femenino;38;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Femenino;38;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Masculino;38;Educación Superior;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos de aseo;Productos frescos
Femenino;44;Educación Superior;Varias veces por semana;Una vez por semana;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Bebidas
Femenino;37;Educación Superior;Ocasionalmente;Todos los días;Muy bueno;De 10 a 15 dólares;18 de Octubre;Productos frescos;Bebidas
Femenino;36;Educación Superior;Ocasionalmente;Varias veces por semana;Bueno;De 15 a 20 dólares;Andrés de Vera;Bebidas;Bebidas
Masculino;36;Secundaria;Varias veces por semana;Ocasionalmente;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos de aseo
Masculino;31;Secundaria;Una vez por semana;Ocasionalmente;Muy bueno;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;36;Primaria;Varias veces por semana;Todos los días;Muy bueno;De 10 a 15 dólares;Simón Bolívar;Productos frescos;Productos frescos
Masculino;29;Secundaria;Ocasionalmente;Todos los días;Muy bueno;De 5 a 10 dólares;San Pablo;Productos frescos;Productos frescos
Masculino;33;Secundaria;Ocasionalmente;Una vez por semana;Muy bueno;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;32;Secundaria;Una vez por semana;Ocasionalmente;Muy bueno;De 15 a 20 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;49;Secundaria;Varias veces por semana;Ocasionalmente;Muy bueno;De 10 a 15 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Masculino;38;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 10 a 15 dólares;12 de Marzo;Productos de aseo;Productos frescos
Masculino;24;Educación Superior;Todos los días;Todos los días;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;56;Secundaria;Una vez por semana;Todos los días;Bueno;De 10 a 15 dólares;Francisco Pacheco;Productos frescos;Productos de aseo
Masculino;35;Secundaria;Todos los días;Ocasionalmente;Excelente;Más de 30 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;20;Educación Superior;Varias veces por semana;Una vez por semana;Bueno;De 10 a 15 dólares;Portoviejo;Productos frescos;Bebidas
Femenino;32;Primaria;Todos los días;Una vez por semana;Muy bueno;De 15 a 20 dólares;Portoviejo;Bebidas;Productos frescos
Femenino;39;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 10 a 15 dólares;Portoviejo;Bebidas;Bebidas
Masculino;39;Secundaria;Varias veces por semana;Ocasionalmente;Bueno;De 10 a 15 dólares;Portoviejo;Bebidas;Productos frescos
Femenino;41;Primaria;Una vez por semana;Varias veces por semana;Excelente;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;43;Primaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;12 de Marzo;Productos frescos;Productos de aseo
;;;;;;;;;
